# Commit SHA map, history rewrite of 6 September 2026
#
# The history was rewritten once, to remove tooling attribution trailers and
# to take a private address, a cluster username and two hostnames out of the
# published record. Every commit SHA changed as a result.
#
# 49 run directories record the commit they were produced at, in
# runs/<run_id>/git.txt. Those files hold PRE-REWRITE SHAs. This table maps
# them to the commits that exist now, so the provenance line in findings.md
# still resolves to real code. Without it, 49 results would point at nothing.
#
# old(pre-rewrite)                          new(current)
021816661bcdfc48091a4d7c4a8019017db6c084 1cb42167f29626bb0aaa2d80e71a5c4f63510500
0361db7443ad7412442b1d34d961d208d665dc49 4759baf6da17e88b2870d883183196283da832a0
036d644e1ea3369831c2a1a73a2c38ec541335d0 eed508228e4d69a0c5e2ab4d383011fe801bda1b
05575cd9431c7a1196bbb2e82da64a27b99891b3 087de9c69b6d1a4e6f57ea3dd802009b727a2c9a
11e8e7c76931bc3a82ed909ce923c9771520679e 8926a62a3371e852ab63829c78dc4d450852a397
1249e3b0328c91ef1550c799b49d2f05c9a4acb0 376a82fa439b82c76aa6d703c26a2db6210ba28a
126674c04c9c11badda13f9033d8b0fd8ce1abb2 c86ad49d31034ed5f804a8e6e55c3378bb79499d
1444af5c55540cbe64e681b0a817fe9e37b9b64d 25863ff6dae19dfaedf5354a86c895546ecf25ea
1569eb68052b1c5699846ef5b8c0aa75384f7922 7be01515463035936cce053837b557902d308ddf
15871a30bd845326cb80ae645ccba2888728bad6 1a62720d07eb2f51f1c6d4a7e6a1faaf733e108b
1723fdc2364e14ab1621110bb3c41434b75231ba 76c28e3268c77e42d7c6dbc38fcae139ddb598e6
17483b14fa4acf682f59c4d593fecd55d82bb84d c70465e2c3d464df8a84515ef5cc566ac589aa74
1b6485351568031ca3a78594d444f624df20d129 49bfb528fddb2673544c4d181692021801e8b9d5
1be365857d98ae6e6719ddd908bf65ce474199ef e2948cb82c01eaca98d3d2db3dcc15baa6216005
1f2003ba0a7dee5db5e7dd96e14fd1e4c5aaa3fc 994035896c10db7f132db33a4b421ba53227dc3d
2057910bb2f3888b4db002c0b5b8fcb6c531beb1 452b8372eb013220fa164dac9226ae081fc1eaff
20fe965e96b92cbf9c9314c40b277d9f92056834 e1004c384267d40d96b59b873563ee86a0556e3b
225b4486e39f13f3918f17348105a06d1d9967f9 83e447e13f09664398d08ae73f1fa2f0ea48d4a3
239974ceacb70dab0a252d5a605b031142bda137 fc56ba929fa2329c3778a575bfaa7cf18c65468d
2639f293c157c28ff87b4d5fc761d244b50afa27 ce5ab57339cb0831b0cbe5c95b6c67c7f42d3bd7
2801c5916cd9a96b4d30ae0df06a99b0fbb6cf98 5ada0e8b9b3dae6f0fb46c016b3c8d158909d21c
29e8d3962da2fa2b7c038cf3625f1da7cffd4f9c 257880494baf40e94a992ec1d4d306e80cddd486
32ec7d569025ae2611e4e1c995fff86fc3b28a1e 8e085ccc3b425e9fe1312e9281a1b4fa37c523fd
3641cc87a559eb1a3c3ee0e06d68828206fc2618 18b91b869930e3bb047c33209ea08d2dc4cfde60
3644c2d37dc1be88b5a8b3f6785db4db89ab14c3 4519b8bb4db4852e65139573d8ebaddba1d7c579
3c1d89e0d60d47d4515703162f712809c3879953 1de6b9a1e1cf6ecb22fa345fcc178de73e8d2f11
3c45f6ead45dbfcf1612a27c8200116c4fec0dcb 6de7b9830bbce5f914c7e30ef869d057c87d062b
3fde4910ba70073dde483d30889d90837e0afb0d 0268e9b5d4a2c879ccde3c1abeb295453d09d5c0
41ed18c79bdf8adf57ed72c73cf92c3fe0acadb9 14ff5460bf2db0eb97eed475d5a4cbd248861a62
461568351dbfd070ff8ab75923a2e88f3d8a5303 4596bd433bc863739e735f6ba0c9741aa123c8e6
464e9a3e35660476eb067eea287dc0e67046c7f2 79d1bfc78ef4fc95de683e7021954829d0676457
4d0c77a0b5c06039e54d9174e10eb3dcd9d669f9 35933195f6b673dfe4c0faf479481e8828aa8e00
50af92dfdb940906dc4f24db9801a4044cd069a2 398bd69ca2dfd261f154e4641a9567a5605b28cc
57d204acfa5a3c7e93f1897e5e8e664077f268a8 aa96847ddd886b963feea18670820e47689ddbb3
5973af64b34682497647827f65a2cd75a2dcb8cb 2fdb95fae3f5e45faf0fb0e9fa193867ce71071d
5a6143d4fd255362b0b7bb7f9cbb1246b52dacb9 868858c8436c0808e98ef0e8b37d966cd2e975a8
5b39f302a38b989d466706a803990db88b69ca8c a9c5cf636eb0baf218540d150dc910376f5ac13e
610a513b1b751d55ae65c25f88d4aad1c956a759 f135e056606311b67dc021ba49cc542ad072fece
62580d07d60073ad7ba5c9cbc575c85f57b05ea2 346e271b3e1fefbac1b3ea9ff32a3b2517055fd6
63b9cd686084554624c47a7f16ec8c240e12c470 fe97a7330432cfeb21fc763e0a37b7fa97c828c2
655b062334c706a78a9c0e7d1c07cce8dab42f64 b03423de0e9627c25174f31c2d3a247b4e3412fd
6aadec8c3e2cbae2e90c74b43ed1c0ab6ca2b6da 51e3ddc4feef24c2f96d4045f135a4d2f8245c4e
6dedadc015bf2fd6b4cc508549a49c009787e01f 10e6fc53aa4507c70aecad5da31cbaf637821bee
6f243827704a57c93cc1f467218d797784451721 281913f713d3189e685e246d3f8a6399099effce
711cac0272e6e51557cc897a3f45d9e4671b9bc4 34b34ff93b2164c354a6d9f8336740df2a041c80
72c0102ec6ca50bb6e4b8a7da3bc964c39c1d1ad 38a7d548090d95b176713e866653ca3319aae1ce
73efaf4a3fa7bb4e1bef1946e5cec41b600c0c06 e885db7d667fb6cb0720a6fb5ff2c2a2243dc803
77757e26562b0c6c87b8898663b30e64b2fc2bbd 5d78d9f9394035e72fa3ce33fc8bfca060494583
7ed53c38e077a5006d23e642f3382935ed67c72c db044ea38b9c8a3c20a414f92740c6957b9a5aec
8121cd1ae2ff59ed1fcb7adf94b6e0e105b618df a01df1cc4ec097ee4b05aa240b9d09b49d71086a
899e3cc89e71b54559c8c39d49e2c76d6f3e92e7 64136ef6312661daec8aaa880d8392305f42b477
8a7123eb4e4fe139f35bf4cdf8349e4b93b9fc3a adcac341033038f2cf7a71b5dbc8ecc5ca7d1e67
8b6efced35beb79a8dbbed3e726a485f777cd44f cb230014705ff3af30f71e8c38f65f9b55e5bc82
9001eb6ed433d8b2aa1942aa388d6ec69c78d937 043c6d1c77fc2fd8cbc90159176708e2e77bd9a9
970b55a090f27610dfce831eb927ddef2b13a225 625934eff51ec962389baeea1bec506a0690893e
987b46a21991c0b90f0cd9310e47b2a76200845d db1606af7c21d7092fe25ca9cdf024dd3a6b97de
99631c545a4cdc76f5629632cfd4c1ad6d9b585f e6e7ed6981c364a084252d32ac58e5981f4aad6a
9a28475bdf410324e3f011319e3a7284aa5c0828 9fc7461ee493ef3969ed1899b28d2b1a52bb2db3
9f3347e9df30e20c60b63439ed677f1aea579413 a8d97ebb32676d35b9324019ebedb606d4ee1ccd
a24de0fae1be3f525a9cc67d6385c4748fb9f2f3 7bd4315cc6c2f0e917194eb2fa3a83d8d5ac3f6b
a3721e0e47b0d74c2f1fa5fc67cf7e5c1471dc34 54a86f75a20c26b230b308a84d13b79d81396ef7
